lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,all,Middle,2014,all,957,,Up/Mid Yukon,NA,0.0153,0.0065,0.0054,0.0144,0.0307,1,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Eastern,all,2014,all,1161,,Western AK,NA,0.2092,0.0158,0.179,0.209,0.2407,1,
Bering Sea,Eastern,all,2014,all,1161,,E GOA/PNW,NA,0.2724,0.0147,0.2441,0.2722,0.302,1,
Bering Sea,Eastern,all,2014,all,1161,,NE Asia,NA,0.3707,0.0182,0.3351,0.3705,0.4069,1,
Bering Sea,Eastern,all,2014,all,1161,,SE Asia,NA,0.1156,0.0106,0.0955,0.1153,0.1369,1,
Bering Sea,Eastern,all,2014,all,1161,,SW Alaska,NA,0.0072,0.0044,0.0001,0.0066,0.0173,1,
Bering Sea,Eastern,all,2014,all,1161,,Up/Mid Yukon,NA,0.025,0.0081,0.0101,0.0246,0.0418,1,
Bering Sea,NMFS 517,Late,2014,all,252,,Western AK,NA,0.1894,0.0322,0.1282,0.1887,0.2545,1,
Bering Sea,NMFS 517,Late,2014,all,252,,E GOA/PNW,NA,0.3697,0.0362,0.2998,0.3693,0.4417,1.01,
Bering Sea,NMFS 517,Late,2014,all,252,,NE Asia,NA,0.3408,0.0391,0.2657,0.3401,0.4191,1.01,
Bering Sea,NMFS 517,Late,2014,all,252,,SE Asia,NA,0.063,0.0172,0.0336,0.0615,0.1006,1,
Bering Sea,NMFS 517,Late,2014,all,252,,SW Alaska,NA,0.0054,0.0092,0,0.0008,0.0323,1,
Bering Sea,NMFS 517,Late,2014,all,252,,Up/Mid Yukon,NA,0.0317,0.0189,0.0047,0.0285,0.0762,1.01,
Bering Sea,NMFS 521,Late,2014,all,221,,Western AK,NA,0.0912,0.0232,0.0506,0.0897,0.1412,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Late,2014,all,221,,E GOA/PNW,NA,0.1747,0.0288,0.1218,0.1735,0.2343,1,"NMFS 521, 523, 524"
Bering Sea,NMFS 521,Late,2014,all,221,,NE Asia,NA,0.3786,0.039,0.3029,0.3782,0.4564,1,"NMFS 521, 523, 524"
