lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
GOA,all,all,2017,all,5802,812,Western AK,NA,0.029,0.009,0.013,0.028,0.048,1,
Bering Sea,all,B season,2017,all,464898,2064,E GOA/PNW,NA,0.15,0.01,0.132,0.15,0.169,1,
Bering Sea,all,B season,2017,all,464898,2064,NE Asia,NA,0.461,0.014,0.433,0.461,0.49,1,
Bering Sea,all,B season,2017,all,464898,2064,SE Asia,NA,0.157,0.009,0.14,0.156,0.174,1,
Bering Sea,all,B season,2017,all,464898,2064,SW Alaska,NA,0.032,0.006,0.021,0.032,0.044,1,
Bering Sea,all,B season,2017,all,464898,2064,Up/Mid Yukon,NA,0.06,0.007,0.047,0.06,0.075,1,
Bering Sea,all,B season,2017,all,464898,2064,Western AK,NA,0.14,0.011,0.119,0.139,0.161,1,
Bering Sea,all,Early,2017,all,287683,1307,E GOA/PNW,NA,0.092,0.01,0.073,0.091,0.112,1,
Bering Sea,all,Early,2017,all,287683,1307,NE Asia,NA,0.481,0.018,0.447,0.481,0.515,1,
Bering Sea,all,Early,2017,all,287683,1307,SE Asia,NA,0.18,0.012,0.158,0.18,0.204,1,
Bering Sea,all,Early,2017,all,287683,1307,SW Alaska,NA,0.029,0.007,0.016,0.028,0.044,1,
Bering Sea,all,Early,2017,all,287683,1307,Up/Mid Yukon,NA,0.073,0.01,0.054,0.072,0.094,1,
Bering Sea,all,Early,2017,all,287683,1307,Western AK,NA,0.146,0.014,0.118,0.145,0.174,1,
Bering Sea,all,Late,2017,all,34950,168,E GOA/PNW,NA,0.367,0.043,0.284,0.366,0.454,1,
Bering Sea,all,Late,2017,all,34950,168,NE Asia,NA,0.294,0.047,0.204,0.293,0.388,1,
Bering Sea,all,Late,2017,all,34950,168,SE Asia,NA,0.119,0.029,0.069,0.117,0.181,1,
Bering Sea,all,Late,2017,all,34950,168,SW Alaska,NA,0.044,0.022,0.011,0.042,0.095,1,
Bering Sea,all,Late,2017,all,34950,168,Up/Mid Yukon,NA,0.05,0.022,0.014,0.048,0.099,1,
Bering Sea,all,Late,2017,all,34950,168,Western AK,NA,0.126,0.035,0.064,0.124,0.201,1,
Bering Sea,all,Middle,2017,all,142265,589,E GOA/PNW,NA,0.197,0.02,0.158,0.197,0.237,1,
Bering Sea,all,Middle,2017,all,142265,589,NE Asia,NA,0.463,0.027,0.41,0.463,0.515,1,
Bering Sea,all,Middle,2017,all,142265,589,SE Asia,NA,0.127,0.016,0.098,0.126,0.158,1,
Bering Sea,all,Middle,2017,all,142265,589,SW Alaska,NA,0.038,0.013,0.017,0.037,0.067,1,
Bering Sea,all,Middle,2017,all,142265,589,Up/Mid Yukon,NA,0.025,0.009,0.01,0.024,0.044,1,
Bering Sea,all,Middle,2017,all,142265,589,Western AK,NA,0.15,0.02,0.112,0.15,0.19,1,
Bering Sea,Cluster 1,Early,2017,all,134212,640,E GOA/PNW,NA,0.15,0.018,0.117,0.15,0.186,1.01,
Bering Sea,Cluster 1,Early,2017,all,134212,640,NE Asia,NA,0.372,0.025,0.324,0.372,0.421,1,
Bering Sea,Cluster 1,Early,2017,all,134212,640,SE Asia,NA,0.147,0.016,0.118,0.147,0.179,1,
Bering Sea,Cluster 1,Early,2017,all,134212,640,SW Alaska,NA,0.036,0.011,0.017,0.035,0.06,1.01,
Bering Sea,Cluster 1,Early,2017,all,134212,640,Up/Mid Yukon,NA,0.064,0.015,0.037,0.063,0.094,1,
Bering Sea,Cluster 1,Early,2017,all,134212,640,Western AK,NA,0.231,0.023,0.187,0.231,0.277,1,
Bering Sea,Cluster 1,Late,2017,all,18133,94,E GOA/PNW,NA,0.273,0.038,0.201,0.273,0.351,1,
Bering Sea,Cluster 1,Late,2017,all,18133,94,NE Asia,NA,0.349,0.042,0.27,0.348,0.432,1,
Bering Sea,Cluster 1,Late,2017,all,18133,94,SE Asia,NA,0.023,0.011,0.006,0.021,0.049,1,
Bering Sea,Cluster 1,Late,2017,all,18133,94,SW Alaska,NA,0.057,0.024,0.017,0.055,0.11,1,
Bering Sea,Cluster 1,Late,2017,all,18133,94,Up/Mid Yukon,NA,0.056,0.022,0.02,0.054,0.106,1,
Bering Sea,Cluster 1,Late,2017,all,18133,94,Western AK,NA,0.242,0.038,0.17,0.24,0.32,1,
Bering Sea,Cluster 2,Early,2017,all,207139,809,E GOA/PNW,NA,0.081,0.012,0.058,0.08,0.106,1,
Bering Sea,Cluster 2,Early,2017,all,207139,809,NE Asia,NA,0.539,0.022,0.495,0.539,0.583,1,
Bering Sea,Cluster 2,Early,2017,all,207139,809,SE Asia,NA,0.162,0.014,0.135,0.162,0.192,1,
Bering Sea,Cluster 2,Early,2017,all,207139,809,SW Alaska,NA,0.035,0.01,0.017,0.034,0.056,1,
Bering Sea,Cluster 2,Early,2017,all,207139,809,Up/Mid Yukon,NA,0.06,0.011,0.04,0.059,0.082,1,
Bering Sea,Cluster 2,Early,2017,all,207139,809,Western AK,NA,0.124,0.016,0.094,0.123,0.156,1,
Bering Sea,Cluster 2,Late,2017,all,13850,74,E GOA/PNW,NA,0.45,0.042,0.369,0.449,0.534,1,
Bering Sea,Cluster 2,Late,2017,all,13850,74,NE Asia,NA,0.341,0.044,0.256,0.34,0.429,1,
Bering Sea,Cluster 2,Late,2017,all,13850,74,SE Asia,NA,0.081,0.021,0.044,0.08,0.127,1,
Bering Sea,Cluster 2,Late,2017,all,13850,74,SW Alaska,NA,0.028,0.019,0.003,0.025,0.074,1,
Bering Sea,Cluster 2,Late,2017,all,13850,74,Up/Mid Yukon,NA,0.025,0.015,0.002,0.023,0.059,1,
Bering Sea,Cluster 2,Late,2017,all,13850,74,Western AK,NA,0.075,0.027,0.028,0.073,0.132,1,
Bering Sea,Cluster 3,Early,2017,all,31915,155,E GOA/PNW,NA,0.088,0.026,0.044,0.086,0.144,1,
Bering Sea,Cluster 3,Early,2017,all,31915,155,NE Asia,NA,0.536,0.046,0.445,0.536,0.625,1,
Bering Sea,Cluster 3,Early,2017,all,31915,155,SE Asia,NA,0.243,0.033,0.182,0.242,0.311,1,
Bering Sea,Cluster 3,Early,2017,all,31915,155,SW Alaska,NA,0.004,0.008,0,0.001,0.028,1,
Bering Sea,Cluster 3,Early,2017,all,31915,155,Up/Mid Yukon,NA,0.042,0.017,0.015,0.041,0.079,1,
Bering Sea,Cluster 3,Early,2017,all,31915,155,Western AK,NA,0.086,0.031,0.033,0.084,0.152,1,
Bering Sea,Cluster 3,Late,2017,all,2815,12,E GOA/PNW,NA,0.319,0.058,0.21,0.317,0.437,1,
Bering Sea,Cluster 3,Late,2017,all,2815,12,NE Asia,NA,0.332,0.068,0.203,0.331,0.467,1,
Bering Sea,Cluster 3,Late,2017,all,2815,12,SE Asia,NA,0.135,0.04,0.067,0.132,0.221,1,
Bering Sea,Cluster 3,Late,2017,all,2815,12,SW Alaska,NA,0.064,0.034,0.012,0.06,0.144,1,
Bering Sea,Cluster 3,Late,2017,all,2815,12,Up/Mid Yukon,NA,0.02,0.027,0,0.008,0.092,1,
Bering Sea,Cluster 3,Late,2017,all,2815,12,Western AK,NA,0.13,0.059,0.026,0.126,0.255,1,
Bering Sea,Cluster 4,Early,2017,all,6090,35,E GOA/PNW,NA,0.138,0.029,0.086,0.136,0.199,1,
Bering Sea,Cluster 4,Early,2017,all,6090,35,NE Asia,NA,0.489,0.045,0.401,0.49,0.578,1,
Bering Sea,Cluster 4,Early,2017,all,6090,35,SE Asia,NA,0.25,0.034,0.186,0.249,0.321,1,
Bering Sea,Cluster 4,Early,2017,all,6090,35,SW Alaska,NA,0.004,0.008,0,0,0.027,1,
Bering Sea,Cluster 4,Early,2017,all,6090,35,Up/Mid Yukon,NA,0.002,0.005,0,0,0.016,1,
Bering Sea,Cluster 4,Early,2017,all,6090,35,Western AK,NA,0.117,0.03,0.063,0.115,0.181,1,
Bering Sea,Cluster 4,Late,2017,all,19078,83,E GOA/PNW,NA,0.168,0.03,0.113,0.166,0.23,1,
Bering Sea,Cluster 4,Late,2017,all,19078,83,NE Asia,NA,0.401,0.043,0.318,0.401,0.486,1,
Bering Sea,Cluster 4,Late,2017,all,19078,83,SE Asia,NA,0.346,0.037,0.276,0.346,0.419,1,
Bering Sea,Cluster 4,Late,2017,all,19078,83,SW Alaska,NA,0.014,0.015,0,0.009,0.055,1.01,
Bering Sea,Cluster 4,Late,2017,all,19078,83,Up/Mid Yukon,NA,0.014,0.011,0,0.012,0.041,1,
Bering Sea,Cluster 4,Late,2017,all,19078,83,Western AK,NA,0.057,0.022,0.022,0.054,0.106,1,
Bering Sea,Eastern,all,2017,all,406244,1783,E GOA/PNW,NA,0.146,0.01,0.126,0.145,0.166,1,"NMFS 521, 523, 524"
Bering Sea,Eastern,all,2017,all,406244,1783,NE Asia,NA,0.458,0.015,0.428,0.458,0.488,1,"NMFS 521, 523, 524"
Bering Sea,Eastern,all,2017,all,406244,1783,SE Asia,NA,0.146,0.009,0.128,0.146,0.165,1,"NMFS 521, 523, 524"
Bering Sea,Eastern,all,2017,all,406244,1783,SW Alaska,NA,0.032,0.007,0.02,0.032,0.046,1,"NMFS 521, 523, 524"
Bering Sea,Eastern,all,2017,all,406244,1783,Up/Mid Yukon,NA,0.066,0.008,0.051,0.066,0.082,1,"NMFS 521, 523, 524"
Bering Sea,Eastern,all,2017,all,406244,1783,Western AK,NA,0.152,0.012,0.129,0.152,0.177,1,"NMFS 521, 523, 524"
Bering Sea,Western,all,2017,all,58654,281,E GOA/PNW,NA,0.154,0.025,0.108,0.153,0.205,1,
Bering Sea,Western,all,2017,all,58654,281,NE Asia,NA,0.463,0.038,0.388,0.463,0.537,1,
Bering Sea,Western,all,2017,all,58654,281,SE Asia,NA,0.228,0.028,0.176,0.227,0.284,1,
Bering Sea,Western,all,2017,all,58654,281,SW Alaska,NA,0.03,0.014,0.007,0.028,0.062,1,
Bering Sea,Western,all,2017,all,58654,281,Up/Mid Yukon,NA,0.024,0.012,0.002,0.023,0.051,1,
Bering Sea,Western,all,2017,all,58654,281,Western AK,NA,0.101,0.026,0.054,0.099,0.156,1,
Bering Sea,all,B season,2011,all,,,E GOA/PNW,NA,0.37803131,,0.351743813,,0.404547813,,RubiasFillIn
Bering Sea,all,B season,2011,all,,,SE Asia,NA,0.163777486,,0.144379812,,0.184178234,,RubiasFillIn
Bering Sea,all,B season,2011,all,,,NE Asia,NA,0.195308894,,0.171116941,,0.220335978,,RubiasFillIn
Bering Sea,all,B season,2011,all,,,SW Alaska,NA,0.012466543,,0.005923239,,0.021410043,,RubiasFillIn
Bering Sea,all,B season,2011,all,,,Up/Mid Yukon,NA,0.081513746,,0.065378795,,0.098857872,,RubiasFillIn
Bering Sea,all,B season,2011,all,,,Western AK,NA,0.168902021,,0.146020116,,0.192755058,,RubiasFillIn
Bering Sea,Eastern,all,2011,all,,,E GOA/PNW,NA,0.440357209,,0.409205276,,0.471757967,,RubiasFillIn
Bering Sea,Eastern,all,2011,all,,,SE Asia,NA,0.121332453,,0.101596521,,0.142457995,,RubiasFillIn
Bering Sea,Eastern,all,2011,all,,,NE Asia,NA,0.163171984,,0.136840878,,0.191044575,,RubiasFillIn
Bering Sea,Eastern,all,2011,all,,,SW Alaska,NA,0.023711829,,0.012323752,,0.036705154,,RubiasFillIn
Bering Sea,Eastern,all,2011,all,,,Up/Mid Yukon,NA,0.071499848,,0.05395507,,0.0901143,,RubiasFillIn
Bering Sea,Eastern,all,2011,all,,,Western AK,NA,0.179926677,,0.154086201,,0.207130817,,RubiasFillIn
Bering Sea,all,Early,2011,all,,,E GOA/PNW,NA,0.26600912,,0.226399188,,0.307029269,,RubiasFillIn
Bering Sea,all,Early,2011,all,,,SE Asia,NA,0.234315026,,0.197270016,,0.27359676,,RubiasFillIn
Bering Sea,all,Early,2011,all,,,NE Asia,NA,0.159829023,,0.124076604,,0.198797771,,RubiasFillIn
Bering Sea,all,Early,2011,all,,,SW Alaska,NA,0.016930387,,0.005966498,,0.032581368,,RubiasFillIn
Bering Sea,all,Early,2011,all,,,Up/Mid Yukon,NA,0.148350755,,0.11093174,,0.186448887,,RubiasFillIn
Bering Sea,all,Early,2011,all,,,Western AK,NA,0.174565689,,0.135732392,,0.218372482,,RubiasFillIn
Bering Sea,all,Middle,2011,all,,,E GOA/PNW,NA,0.288383955,,0.243473465,,0.334947352,,RubiasFillIn
Bering Sea,all,Middle,2011,all,,,SE Asia,NA,0.199377405,,0.161300742,,0.23969367,,RubiasFillIn
Bering Sea,all,Middle,2011,all,,,NE Asia,NA,0.230898601,,0.183565174,,0.28124025,,RubiasFillIn
Bering Sea,all,Middle,2011,all,,,SW Alaska,NA,0.000403016,,1.22E-38,,0.004441299,,RubiasFillIn
Bering Sea,all,Middle,2011,all,,,Up/Mid Yukon,NA,0.057347108,,0.031551043,,0.087331801,,RubiasFillIn
Bering Sea,all,Middle,2011,all,,,Western AK,NA,0.223589916,,0.177095278,,0.272793145,,RubiasFillIn
Bering Sea,all,Late,2011,all,,,E GOA/PNW,NA,0.492247521,,0.440893331,,0.543435724,,RubiasFillIn
Bering Sea,all,Late,2011,all,,,SE Asia,NA,0.074861566,,0.050403473,,0.103418226,,RubiasFillIn
Bering Sea,all,Late,2011,all,,,NE Asia,NA,0.22949449,,0.181990113,,0.279847268,,RubiasFillIn
Bering Sea,all,Late,2011,all,,,SW Alaska,NA,0.018159812,,0.001597738,,0.040020342,,RubiasFillIn
Bering Sea,all,Late,2011,all,,,Up/Mid Yukon,NA,0.027141719,,0.012017408,,0.047294566,,RubiasFillIn
Bering Sea,all,Late,2011,all,,,Western AK,NA,0.158094892,,0.119885414,,0.199469506,,RubiasFillIn
Bering Sea,NMFS 517,Early,2011,all,,,E GOA/PNW,NA,0.268327774,,0.195132528,,0.348804847,,RubiasFillIn
Bering Sea,NMFS 517,Early,2011,all,,,SE Asia,NA,0.262393327,,0.191242408,,0.340173348,,RubiasFillIn
Bering Sea,NMFS 517,Early,2011,all,,,NE Asia,NA,0.076452246,,0.031813359,,0.135682782,,RubiasFillIn
Bering Sea,NMFS 517,Early,2011,all,,,SW Alaska,NA,0.007251646,,6.03E-31,,0.035535789,,RubiasFillIn
Bering Sea,NMFS 517,Early,2011,all,,,Up/Mid Yukon,NA,0.120891661,,0.058914012,,0.203227375,,RubiasFillIn
Bering Sea,NMFS 517,Early,2011,all,,,Western AK,NA,0.264683345,,0.173870531,,0.357430691,,RubiasFillIn
Bering Sea,Cluster 1,Early,2011,all,,,E GOA/PNW,NA,0.341097782,,0.294027195,,0.389828524,,RubiasFillIn
Bering Sea,Cluster 1,Early,2011,all,,,SE Asia,NA,0.187486698,,0.149597996,,0.228892313,,RubiasFillIn
Bering Sea,Cluster 1,Early,2011,all,,,NE Asia,NA,0.121713513,,0.085074915,,0.162122621,,RubiasFillIn
Bering Sea,Cluster 1,Early,2011,all,,,SW Alaska,NA,0.021628351,,0.008471719,,0.040597264,,RubiasFillIn
Bering Sea,Cluster 1,Early,2011,all,,,Up/Mid Yukon,NA,0.107459927,,0.068067182,,0.149866403,,RubiasFillIn
Bering Sea,Cluster 1,Early,2011,all,,,Western AK,NA,0.220613729,,0.171285083,,0.274075789,,RubiasFillIn
Bering Sea,Cluster 1,Late,2011,all,,,E GOA/PNW,NA,0.452536706,,0.40502629,,0.500408656,,RubiasFillIn
Bering Sea,Cluster 1,Late,2011,all,,,SE Asia,NA,0.062159247,,0.040854311,,0.086996462,,RubiasFillIn
Bering Sea,Cluster 1,Late,2011,all,,,NE Asia,NA,0.210756769,,0.168498194,,0.256134572,,RubiasFillIn
Bering Sea,Cluster 1,Late,2011,all,,,SW Alaska,NA,0.019732329,,0.005511107,,0.039353001,,RubiasFillIn
Bering Sea,Cluster 1,Late,2011,all,,,Up/Mid Yukon,NA,0.051506529,,0.028123465,,0.080169477,,RubiasFillIn
Bering Sea,Cluster 1,Late,2011,all,,,Western AK,NA,0.20330842,,0.16136411,,0.247665722,,RubiasFillIn
Bering Sea,Cluster 2,Late,2011,all,,,E GOA/PNW,NA,0.869585895,,0.792765973,,0.931175894,,RubiasFillIn
Bering Sea,Cluster 2,Late,2011,all,,,SE Asia,NA,0.011421092,,0.000381265,,0.039439044,,RubiasFillIn
Bering Sea,Cluster 2,Late,2011,all,,,NE Asia,NA,0.041218599,,0.006589388,,0.097582737,,RubiasFillIn
Bering Sea,Cluster 2,Late,2011,all,,,SW Alaska,NA,0.001949177,,2.38E-37,,0.0217726,,RubiasFillIn
Bering Sea,Cluster 2,Late,2011,all,,,Up/Mid Yukon,NA,0.000789307,,1.75E-29,,0.008832467,,RubiasFillIn
Bering Sea,Cluster 2,Late,2011,all,,,Western AK,NA,0.075035929,,0.029451082,,0.137100517,,RubiasFillIn
Bering Sea,Cluster 3,Early,2011,all,,,E GOA/PNW,NA,0.109254154,,0.050277997,,0.185674334,,RubiasFillIn
Bering Sea,Cluster 3,Early,2011,all,,,SE Asia,NA,0.281091254,,0.196180058,,0.374228955,,RubiasFillIn
Bering Sea,Cluster 3,Early,2011,all,,,NE Asia,NA,0.321152866,,0.213513396,,0.435650146,,RubiasFillIn
Bering Sea,Cluster 3,Early,2011,all,,,SW Alaska,NA,0.000734053,,1.03E-38,,0.008508792,,RubiasFillIn
Bering Sea,Cluster 3,Early,2011,all,,,Up/Mid Yukon,NA,0.133433357,,0.06943697,,0.21173421,,RubiasFillIn
Bering Sea,Cluster 3,Early,2011,all,,,Western AK,NA,0.154334316,,0.075823976,,0.248623526,,RubiasFillIn
Bering Sea,Cluster 3,Late,2011,all,,,E GOA/PNW,NA,0.582747374,,0.465237295,,0.695966116,,RubiasFillIn
Bering Sea,Cluster 3,Late,2011,all,,,SE Asia,NA,0.053098804,,0.015095802,,0.112559879,,RubiasFillIn
Bering Sea,Cluster 3,Late,2011,all,,,NE Asia,NA,0.140051516,,0.060678374,,0.24242842,,RubiasFillIn
Bering Sea,Cluster 3,Late,2011,all,,,SW Alaska,NA,0.002673906,,9.68E-38,,0.03177399,,RubiasFillIn
Bering Sea,Cluster 3,Late,2011,all,,,Up/Mid Yukon,NA,0.012597168,,7.49E-14,,0.048778026,,RubiasFillIn
Bering Sea,Cluster 3,Late,2011,all,,,Western AK,NA,0.208831232,,0.118289439,,0.312813223,,RubiasFillIn
Bering Sea,Cluster 4,Early,2011,all,,,E GOA/PNW,NA,0.074844569,,0.030680429,,0.135487546,,RubiasFillIn
Bering Sea,Cluster 4,Early,2011,all,,,SE Asia,NA,0.399645692,,0.310209742,,0.49174388,,RubiasFillIn
Bering Sea,Cluster 4,Early,2011,all,,,NE Asia,NA,0.223153118,,0.139317183,,0.314717927,,RubiasFillIn
Bering Sea,Cluster 4,Early,2011,all,,,SW Alaska,NA,0.00089291,,1.29E-38,,0.01049184,,RubiasFillIn
Bering Sea,Cluster 4,Early,2011,all,,,Up/Mid Yukon,NA,0.178352046,,0.098926858,,0.267307403,,RubiasFillIn
Bering Sea,Cluster 4,Early,2011,all,,,Western AK,NA,0.123111664,,0.051049417,,0.214173391,,RubiasFillIn
Bering Sea,all,B season,2012,all,,,E GOA/PNW,NA,0.188428538,,0.156240704,,0.222255419,,RubiasFillIn
Bering Sea,all,B season,2012,all,,,SE Asia,NA,0.193619349,,0.162986012,,0.226185979,,RubiasFillIn
Bering Sea,all,B season,2012,all,,,NE Asia,NA,0.384396553,,0.340615725,,0.428882279,,RubiasFillIn
Bering Sea,all,B season,2012,all,,,SW Alaska,NA,0.022498844,,0.00791098,,0.040650501,,RubiasFillIn
Bering Sea,all,B season,2012,all,,,Up/Mid Yukon,NA,0.059224871,,0.037879983,,0.084011215,,RubiasFillIn
Bering Sea,all,B season,2012,all,,,Western AK,NA,0.151831845,,0.118447585,,0.187453944,,RubiasFillIn
Bering Sea,Eastern,all,2012,all,,,E GOA/PNW,NA,0.1957261,,0.161136241,,0.232364528,,RubiasFillIn
Bering Sea,Eastern,all,2012,all,,,SE Asia,NA,0.180147442,,0.149060023,,0.21359713,,RubiasFillIn
Bering Sea,Eastern,all,2012,all,,,NE Asia,NA,0.384155045,,0.338430807,,0.430183261,,RubiasFillIn
Bering Sea,Eastern,all,2012,all,,,SW Alaska,NA,0.026450206,,0.009794356,,0.04728649,,RubiasFillIn
Bering Sea,Eastern,all,2012,all,,,Up/Mid Yukon,NA,0.057151971,,0.034991656,,0.082965113,,RubiasFillIn
Bering Sea,Eastern,all,2012,all,,,Western AK,NA,0.156369236,,0.120675568,,0.195124781,,RubiasFillIn
Bering Sea,all,Early,2012,all,,,E GOA/PNW,NA,0.19694875,,0.131898737,,0.270735192,,RubiasFillIn
Bering Sea,all,Early,2012,all,,,SE Asia,NA,0.227742208,,0.158544121,,0.30433509,,RubiasFillIn
Bering Sea,all,Early,2012,all,,,NE Asia,NA,0.359272545,,0.270453608,,0.452251999,,RubiasFillIn
Bering Sea,all,Early,2012,all,,,SW Alaska,NA,0.006672318,,4.05E-31,,0.036727634,,RubiasFillIn
Bering Sea,all,Early,2012,all,,,Up/Mid Yukon,NA,0.047651497,,0.009039144,,0.097754052,,RubiasFillIn
Bering Sea,all,Early,2012,all,,,Western AK,NA,0.161712681,,0.096815857,,0.236221596,,RubiasFillIn
Bering Sea,all,Middle,2012,all,,,E GOA/PNW,NA,0.135875128,,0.072199234,,0.214002269,,RubiasFillIn
Bering Sea,all,Middle,2012,all,,,SE Asia,NA,0.135804653,,0.074178215,,0.211392042,,RubiasFillIn
Bering Sea,all,Middle,2012,all,,,NE Asia,NA,0.405691361,,0.300489761,,0.515662578,,RubiasFillIn
Bering Sea,all,Middle,2012,all,,,SW Alaska,NA,0.005890063,,1.84E-34,,0.039276824,,RubiasFillIn
Bering Sea,all,Middle,2012,all,,,Up/Mid Yukon,NA,0.009448222,,1.80E-25,,0.058086185,,RubiasFillIn
Bering Sea,all,Middle,2012,all,,,Western AK,NA,0.307290573,,0.210137546,,0.411022778,,RubiasFillIn
Bering Sea,all,Late,2012,all,,,E GOA/PNW,NA,0.191121108,,0.15020971,,0.235225153,,RubiasFillIn
Bering Sea,all,Late,2012,all,,,SE Asia,NA,0.189010278,,0.150618414,,0.230310064,,RubiasFillIn
Bering Sea,all,Late,2012,all,,,NE Asia,NA,0.395316194,,0.339694326,,0.45207256,,RubiasFillIn
Bering Sea,all,Late,2012,all,,,SW Alaska,NA,0.026205024,,0.006831036,,0.05137354,,RubiasFillIn
Bering Sea,all,Late,2012,all,,,Up/Mid Yukon,NA,0.07497439,,0.044883281,,0.110153237,,RubiasFillIn
Bering Sea,all,Late,2012,all,,,Western AK,NA,0.123373006,,0.083586983,,0.167786896,,RubiasFillIn
Bering Sea,Cluster 1,Early,2012,all,,,E GOA/PNW,NA,0.248082307,,0.177890581,,0.324526569,,RubiasFillIn
Bering Sea,Cluster 1,Early,2012,all,,,SE Asia,NA,0.187899503,,0.125919437,,0.258007508,,RubiasFillIn
Bering Sea,Cluster 1,Early,2012,all,,,NE Asia,NA,0.272883101,,0.192394175,,0.361352507,,RubiasFillIn
Bering Sea,Cluster 1,Early,2012,all,,,SW Alaska,NA,0.0221812,,0.003127951,,0.057179481,,RubiasFillIn
Bering Sea,Cluster 1,Early,2012,all,,,Up/Mid Yukon,NA,0.027522239,,0.003087015,,0.07438998,,RubiasFillIn
Bering Sea,Cluster 1,Early,2012,all,,,Western AK,NA,0.24143165,,0.164265838,,0.323630609,,RubiasFillIn
Bering Sea,Cluster 1,Late,2012,all,,,E GOA/PNW,NA,0.188076367,,0.139426348,,0.241459697,,RubiasFillIn
Bering Sea,Cluster 1,Late,2012,all,,,SE Asia,NA,0.106856214,,0.072205997,,0.146814417,,RubiasFillIn
Bering Sea,Cluster 1,Late,2012,all,,,NE Asia,NA,0.45406077,,0.385224711,,0.523010404,,RubiasFillIn
Bering Sea,Cluster 1,Late,2012,all,,,SW Alaska,NA,0.016714345,,5.95E-09,,0.044285492,,RubiasFillIn
Bering Sea,Cluster 1,Late,2012,all,,,Up/Mid Yukon,NA,0.068731892,,0.03515433,,0.109315484,,RubiasFillIn
Bering Sea,Cluster 1,Late,2012,all,,,Western AK,NA,0.165560413,,0.112441421,,0.224795967,,RubiasFillIn
Bering Sea,all,B season,2013,all,,,E GOA/PNW,NA,0.157216774,,0.144573768,,0.170041118,,RubiasFillIn
Bering Sea,all,B season,2013,all,,,SE Asia,NA,0.136682217,,0.125355487,,0.148417779,,RubiasFillIn
Bering Sea,all,B season,2013,all,,,NE Asia,NA,0.430464481,,0.411967734,,0.449277127,,RubiasFillIn
Bering Sea,all,B season,2013,all,,,SW Alaska,NA,0.015779075,,0.010400921,,0.022227974,,RubiasFillIn
Bering Sea,all,B season,2013,all,,,Up/Mid Yukon,NA,0.054956975,,0.045199356,,0.065160619,,RubiasFillIn
Bering Sea,all,B season,2013,all,,,Western AK,NA,0.204900479,,0.188785917,,0.22132253,,RubiasFillIn
Bering Sea,Eastern,all,2013,all,,,E GOA/PNW,NA,0.176160851,,0.161379196,,0.191520527,,RubiasFillIn
Bering Sea,Eastern,all,2013,all,,,SE Asia,NA,0.109722446,,0.098111105,,0.121961589,,RubiasFillIn
Bering Sea,Eastern,all,2013,all,,,NE Asia,NA,0.431221929,,0.410251154,,0.452402297,,RubiasFillIn
Bering Sea,Eastern,all,2013,all,,,SW Alaska,NA,0.020503682,,0.013392033,,0.028613174,,RubiasFillIn
Bering Sea,Eastern,all,2013,all,,,Up/Mid Yukon,NA,0.043812534,,0.033972952,,0.054411347,,RubiasFillIn
Bering Sea,Eastern,all,2013,all,,,Western AK,NA,0.218578557,,0.20022885,,0.237551961,,RubiasFillIn
Bering Sea,Cluster 1,Early,2013,all,,,E GOA/PNW,NA,0.255747563,,0.232282046,,0.280299743,,RubiasFillIn
Bering Sea,Cluster 1,Early,2013,all,,,SE Asia,NA,0.147589342,,0.12923342,,0.16696051,,RubiasFillIn
Bering Sea,Cluster 1,Early,2013,all,,,NE Asia,NA,0.306547759,,0.278891879,,0.334678415,,RubiasFillIn
Bering Sea,Cluster 1,Early,2013,all,,,SW Alaska,NA,0.03216546,,0.020427038,,0.04526607,,RubiasFillIn
Bering Sea,Cluster 1,Early,2013,all,,,Up/Mid Yukon,NA,0.042388598,,0.029690998,,0.056900159,,RubiasFillIn
Bering Sea,Cluster 1,Early,2013,all,,,Western AK,NA,0.215561278,,0.190270164,,0.241739449,,RubiasFillIn
Bering Sea,Cluster 1,Late,2013,all,,,E GOA/PNW,NA,0.127935437,,0.101260973,,0.156829434,,RubiasFillIn
Bering Sea,Cluster 1,Late,2013,all,,,SE Asia,NA,0.066228895,,0.047300201,,0.08787569,,RubiasFillIn
Bering Sea,Cluster 1,Late,2013,all,,,NE Asia,NA,0.577471246,,0.534249411,,0.620088909,,RubiasFillIn
Bering Sea,Cluster 1,Late,2013,all,,,SW Alaska,NA,0.007362698,,0.001209888,,0.017080189,,RubiasFillIn
Bering Sea,Cluster 1,Late,2013,all,,,Up/Mid Yukon,NA,0.016384453,,0.004270095,,0.036090095,,RubiasFillIn
Bering Sea,Cluster 1,Late,2013,all,,,Western AK,NA,0.204617271,,0.168034025,,0.242332833,,RubiasFillIn
Bering Sea,Cluster 2,Early,2013,all,,,E GOA/PNW,NA,0.059621006,,0.020268494,,0.111452271,,RubiasFillIn
Bering Sea,Cluster 2,Early,2013,all,,,SE Asia,NA,0.105167009,,0.058712773,,0.161909211,,RubiasFillIn
Bering Sea,Cluster 2,Early,2013,all,,,NE Asia,NA,0.592982762,,0.499935965,,0.683291295,,RubiasFillIn
Bering Sea,Cluster 2,Early,2013,all,,,SW Alaska,NA,0.001331889,,5.23E-38,,0.015636328,,RubiasFillIn
